video_id,source,source_url,local_path,title,category,duration,download_ok,processed,view_count,uploader,upload_date,scrape_date
gacs_movie_trailers_00_UDfjsSqC,youtube_gacs,https://youtube.com/watch?v=UDfjsSqCQ44,data/raw_videos/gacs_movie_trailers_00_UDfjsSqC.mp4,"Avengers: Doomsday - First Trailer (2026) Chris Evans, Robert Downey Jr | Marvel Studios",movie_trailers,69,True,True,,,,
gacs_movie_trailers_01_n9xhJrPX,youtube_gacs,https://youtube.com/watch?v=n9xhJrPXop4,data/raw_videos/gacs_movie_trailers_01_n9xhJrPX.mp4,Dune Official Trailer,movie_trailers,184,True,True,,,,
gacs_movie_trailers_02_uYPbbksJ,youtube_gacs,https://youtube.com/watch?v=uYPbbksJxIg,data/raw_videos/gacs_movie_trailers_02_uYPbbksJ.mp4,Oppenheimer | New Trailer,movie_trailers,187,True,True,,,,
gacs_advertisements_00_-avONMmQ,youtube_gacs,https://youtube.com/watch?v=-avONMmQtlI,data/raw_videos/gacs_advertisements_00_-avONMmQ.mp4,Apple Holiday | A Critter Carol | Shot on iPhone 17 Pro,advertisements,144,True,True,,,,
gacs_advertisements_01_jBnseji3,youtube_gacs,https://youtube.com/watch?v=jBnseji3tBk,data/raw_videos/gacs_advertisements_01_jBnseji3.mp4,KAEPERNICK NIKE AD:  New ad featuring former San Francisco 49ers QB Colin Kaepernick,advertisements,126,True,True,,,,
gacs_advertisements_02_VGa1imAp,youtube_gacs,https://youtube.com/watch?v=VGa1imApfdg,data/raw_videos/gacs_advertisements_02_VGa1imAp.mp4,Coca-Cola® Masterpiece,advertisements,112,True,True,,,,
gacs_emotional_shorts_00_WAmw-erI,youtube_gacs,https://youtube.com/watch?v=WAmw-erIWbM,data/raw_videos/gacs_emotional_shorts_00_WAmw-erI.mp4,"Second Chance | Emotional Short Film on Love, Divorce & Healing | Suryaa Drama",emotional_shorts,1214,True,True,,,,
gacs_emotional_shorts_01_LIed92r8,youtube_gacs,https://youtube.com/watch?v=LIed92r87DI,data/raw_videos/gacs_emotional_shorts_01_LIed92r8.mp4,Heart Touching Short story You will cry after watching this video !,emotional_shorts,185,True,True,,,,
gacs_emotional_shorts_02_DZQtVmKM,youtube_gacs,https://youtube.com/watch?v=DZQtVmKMY8M,data/raw_videos/gacs_emotional_shorts_02_DZQtVmKM.mp4,The Most Heartwarming Moments That Will Make You Cry | Moments Broke Millions of Hearts 💕Ep 55,emotional_shorts,1768,True,True,,,,
gacs_animations_00_WIPV1iwz,youtube_gacs,https://youtube.com/watch?v=WIPV1iwzrzg,data/raw_videos/gacs_animations_00_WIPV1iwz.mp4,"Disney-Pixar ""PIPER"" - Cute Motivational short movie.",animations,201,True,True,,,,
gacs_animations_01_hJnAHzo4,youtube_gacs,https://youtube.com/watch?v=hJnAHzo4-KI,data/raw_videos/gacs_animations_01_hJnAHzo4.mp4,Hoppers | Teaser Trailer | In theaters March 6,animations,120,True,True,,,,
gacs_animations_02_qLGNj-xr,youtube_gacs,https://youtube.com/watch?v=qLGNj-xrgvY,data/raw_videos/gacs_animations_02_qLGNj-xr.mp4,"CGI Animated Short Film: ""Mr Indifferent"" by Aryasb Feiz | CGMeetup",animations,165,True,True,,,,
gacs_movie_trailers_00_mqqft2x_,youtube_movie_trailers,https://youtube.com/watch?v=mqqft2x_Aa4,data/raw_videos/gacs_movie_trailers_00_mqqft2x_.mp4,THE BATMAN – Main Trailer,movie_trailers,158,True,True,66087576.0,Warner Bros.,20211016.0,29-12-2025
gacs_movie_trailers_01_fsQgc9pC,youtube_movie_trailers,https://youtube.com/watch?v=fsQgc9pCyDU,data/raw_videos/gacs_movie_trailers_01_fsQgc9pC.mp4,Mission: Impossible – The Final Reckoning | Official Trailer (2025 Movie) - Tom Cruise,movie_trailers,138,True,True,27943760.0,Paramount Pictures,20250407.0,29-12-2025
gacs_movie_trailers_02_nb_fFj_0,youtube_movie_trailers,https://youtube.com/watch?v=nb_fFj_0rq8,data/raw_videos/gacs_movie_trailers_02_nb_fFj_0.mp4,Avatar: Fire and Ash | Official Trailer,movie_trailers,145,True,True,38272867.0,Avatar,20250728.0,29-12-2025
gacs_advertisements_00_F4sJLG2z,youtube_advertisements,https://youtube.com/watch?v=F4sJLG2zRgI,data/raw_videos/gacs_advertisements_00_F4sJLG2z.mp4,Every Samsung Galaxy S Commercial | 2010 - 2025,advertisements,2978,True,True,19918.0,Kirbpoyo3,20250123.0,29-12-2025
gacs_advertisements_01_9G5luoju,youtube_advertisements,https://youtube.com/watch?v=9G5luojuoQw,data/raw_videos/gacs_advertisements_01_9G5luoju.mp4,Adidas brand history,advertisements,286,True,True,788.0,Brand history,20231026.0,29-12-2025
gacs_advertisements_02_WDld_tTL,youtube_advertisements,https://youtube.com/watch?v=WDld_tTLgjA,data/raw_videos/gacs_advertisements_02_WDld_tTL.mp4,Jo Dil Chahe - Lemon Tart | Amazon Prime |  CHROME PICTURES Director: Hemant Bhandari,advertisements,37,True,True,4741.0,Chrome Pictures,20250528.0,29-12-2025
